ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
25.13,15.08,53.27,6.03,0.5
28.34,14.65,50.0,6.69,0.32
25.18,12.77,54.01,7.3,0.73
26.16,11.72,53.41,8.17,0.54
25.27,13.55,52.38,8.42,0.37
25.0,14.55,52.61,7.84,0.0
29.11,13.08,50.63,7.17,0.0
27.63,15.56,49.42,7.39,0.0
25.53,11.71,54.05,8.11,0.6
27.86,12.86,52.5,6.43,0.36
27.61,15.03,51.23,6.13,0.0
26.46,12.37,53.26,7.56,0.34
25.97,13.26,52.76,7.73,0.28
26.61,11.29,52.96,9.14,0.0
29.26,12.59,51.11,7.04,0.0
25.29,14.18,52.87,7.66,0.0
26.53,12.93,53.06,7.14,0.34
26.81,12.68,52.17,7.97,0.36
25.82,13.09,52.73,7.64,0.73
27.44,14.02,51.52,7.01,0.0
25.91,13.64,52.27,8.18,0.0
27.56,12.37,52.3,7.07,0.71
27.48,10.54,53.67,7.67,0.64
27.72,13.48,51.31,7.12,0.37
26.7,16.23,49.74,7.33,0.0
26.6,12.79,53.87,6.73,0.0
25.67,14.18,52.87,7.28,0.0
26.97,14.14,51.97,6.58,0.33
24.71,15.52,52.3,7.47,0.0
25.6,12.35,55.12,6.93,0.0
27.56,12.01,52.3,7.42,0.71
26.29,15.09,51.72,6.47,0.43
26.58,10.76,54.75,7.91,0.0
26.75,13.38,52.23,7.64,0.0
25.56,15.79,50.38,8.27,0.0
24.51,14.71,52.61,8.17,0.0
25.0,13.12,54.37,7.5,0.0
24.48,12.07,51.72,11.72,0.0
25.2,12.6,54.33,7.09,0.79
27.11,14.29,52.75,5.86,0.0
26.61,14.11,52.02,6.85,0.4
28.84,13.17,51.41,6.58,0.0
25.19,14.07,53.7,6.3,0.74
29.81,13.35,49.69,6.83,0.31
27.1,11.45,51.91,9.16,0.38
25.77,11.34,54.3,8.59,0.0
27.07,13.97,52.84,5.68,0.44
25.44,12.01,53.71,8.83,0.0
26.27,13.56,53.39,6.36,0.42
26.02,12.57,53.51,7.89,0.0
25.29,14.18,54.02,6.51,0.0
25.95,13.74,53.44,6.49,0.38
27.65,13.26,50.76,7.95,0.38
24.55,15.57,52.1,7.19,0.6
25.94,12.39,53.31,8.36,0.0
25.82,14.75,50.41,9.02,0.0
26.44,11.88,54.79,6.9,0.0
25.19,11.95,54.81,8.05,0.0
28.37,13.48,51.06,7.09,0.0
25.2,14.0,53.2,7.6,0.0
26.86,13.07,54.06,6.01,0.0
24.91,15.38,51.65,7.69,0.37
28.99,12.32,52.17,6.52,0.0
28.08,11.99,54.11,5.82,0.0
25.1,12.94,54.12,7.06,0.78
26.2,12.68,53.24,7.61,0.28
24.3,15.14,53.39,7.17,0.0
24.83,13.42,54.03,7.72,0.0
24.65,15.28,52.08,6.94,1.04
26.69,14.34,51.79,7.17,0.0
27.81,14.69,49.06,8.12,0.31
27.11,12.05,53.31,7.53,0.0
29.67,12.44,51.67,6.22,0.0
26.25,11.25,54.06,8.12,0.31
27.34,11.76,53.63,7.27,0.0
24.76,13.5,54.02,7.72,0.0
26.41,13.73,52.46,7.39,0.0
27.41,12.96,53.33,5.56,0.74
25.0,15.71,52.24,6.73,0.32
25.56,14.29,51.88,8.27,0.0
27.78,14.24,51.39,6.25,0.35
27.53,13.94,51.57,6.97,0.0
25.64,12.82,54.58,6.96,0.0
27.97,12.94,51.75,7.34,0.0
27.25,11.38,53.7,7.67,0.0
25.22,13.91,53.48,7.39,0.0
25.87,13.9,52.51,7.72,0.0
29.79,12.06,52.48,5.32,0.35
25.68,14.04,52.4,7.88,0.0
25.4,13.64,53.48,7.49,0.0
26.72,13.79,52.87,6.32,0.29
26.95,13.48,52.48,7.09,0.0
25.68,12.84,53.31,8.17,0.0
27.47,15.02,50.55,6.59,0.37
25.61,14.23,52.85,6.1,1.22
28.17,12.68,51.41,7.39,0.35
30.5,13.5,51.0,5.0,0.0
26.96,11.6,53.58,7.85,0.0
27.95,11.45,52.86,7.74,0.0
25.52,13.99,51.05,9.44,0.0
29.49,11.54,50.64,8.33,0.0
26.16,14.24,52.91,6.4,0.29
26.26,13.89,53.54,6.31,0.0
26.29,12.74,52.85,8.13,0.0
26.94,12.79,52.19,8.08,0.0
25.34,13.18,53.72,7.77,0.0
26.38,14.2,51.88,7.54,0.0
25.28,14.17,52.78,7.78,0.0
26.83,12.74,53.12,7.05,0.27
27.68,12.92,53.14,5.9,0.37
26.67,11.67,53.33,8.33,0.0
26.04,12.43,51.48,10.06,0.0
26.98,15.87,50.4,6.75,0.0
23.97,13.01,51.37,11.64,0.0
25.15,15.95,51.53,7.36,0.0
26.39,14.13,52.79,6.32,0.37
25.83,13.65,53.51,6.64,0.37
26.63,13.62,52.32,7.12,0.31
26.94,10.1,54.88,7.74,0.34
26.07,12.14,54.64,7.14,0.0
27.08,12.31,53.85,6.15,0.62
26.13,13.55,53.55,6.77,0.0
28.49,13.37,51.16,5.81,1.16
26.59,14.23,52.43,6.74,0.0
25.51,12.02,54.25,7.62,0.59
27.88,13.46,51.92,6.73,0.0
26.22,12.8,53.96,7.01,0.0
27.47,10.99,52.75,7.69,1.1
25.22,13.91,51.3,9.57,0.0
25.71,13.33,53.02,7.94,0.0
27.32,13.66,51.64,7.1,0.27
28.52,13.33,51.48,6.67,0.0
27.0,12.66,53.16,7.17,0.0
24.84,13.38,53.82,7.96,0.0
26.67,13.33,53.85,5.64,0.51
27.32,14.06,50.4,8.22,0.0
25.94,12.97,52.56,8.53,0.0
27.64,12.36,53.09,6.91,0.0
27.03,12.5,53.38,6.76,0.34
25.55,12.93,53.94,7.26,0.32
25.62,13.52,53.38,6.76,0.71
26.71,11.55,53.43,7.94,0.36
25.34,13.7,53.08,7.88,0.0
26.42,14.51,52.85,5.96,0.26
26.07,12.5,53.57,7.86,0.0
25.34,11.49,54.39,8.45,0.34
24.78,12.39,53.98,8.85,0.0
24.8,12.6,54.07,8.54,0.0
28.14,15.85,49.73,6.28,0.0
23.91,16.09,52.61,7.39,0.0
26.52,11.6,53.59,8.29,0.0
26.55,12.73,54.18,6.55,0.0
26.61,12.89,54.06,6.44,0.0
25.36,14.13,53.62,6.52,0.36
23.87,11.61,52.9,11.61,0.0
26.79,10.05,55.98,7.18,0.0
26.87,12.78,51.98,7.49,0.88
28.08,11.99,54.11,5.82,0.0
27.36,10.38,53.3,8.96,0.0
25.0,12.12,54.92,7.95,0.0
27.92,12.37,51.59,8.13,0.0
25.36,12.32,54.35,7.25,0.72
27.91,13.66,51.16,7.27,0.0
26.69,13.85,52.36,7.09,0.0
25.15,13.03,54.24,7.58,0.0
26.88,14.34,51.25,7.53,0.0
24.92,13.44,53.11,8.52,0.0
24.93,15.13,51.63,8.31,0.0
26.02,14.29,51.53,8.16,0.0
25.91,13.77,53.44,6.48,0.4
26.69,12.81,54.09,6.41,0.0
26.16,11.83,54.48,7.53,0.0
28.42,13.01,51.71,6.51,0.34
25.39,15.23,51.95,7.42,0.0
26.33,13.45,52.1,7.84,0.28
25.95,14.12,53.44,6.11,0.38
29.65,12.83,50.88,6.64,0.0
25.76,10.61,56.06,7.58,0.0
26.96,11.95,51.88,8.87,0.34
27.95,14.29,51.55,6.21,0.0
